X,Comment,label
18,قیمت رب گوجه مجید توی سایت ۳۳ و خورده ای بود ولی در فاکتور قیمت روش که ۳۹۹۰۰ بود لحاظ شده بود,1
19,در خواست مرجوعی پرتقال و کاهو رو دارم، ۵ تا پرتقال شده دو کیلو، یکیش رو برش زدم بی آب هستند. برگ های کاهو قهوه ای شده.,1
20,قیمت های دروغین روی اجناس در اپلیکیشن,1
21,"با سلام
همه چیز خوب بود ولی دو تا از تخم مرغ ها شکسته بودند. عکسش را ارسال می کنم.
لطفا تخم مرغ پر طلایی را مجددا موجود کنید. تخم مرغ بسیار با کیفیتی هست ولی مدتیه که موجود نیست.
ممنون
خسته نباشید",2
22,همیشه آب از داخل کیسه یخ ، به بیرون نشت کرده و باعث خیس شدن اقلام میشه.,1
23,شكستگي کامل تخم مرغ ،سر ظرف خامه پاره بوده,2
24,گوشت به حدی قرمز هست انگار رب گوجه فرنگی بسته بندی کردی.وقتی میبینن طرف آنلاین سفارش داده هرچی دم دستشون میاد چرخ میکنن میفرستن.معلوم نیست گوشت هست یا سنگدون مرغ!,1
25,اکثر بیسکوییتها در بسته خورد شده بود.,2
26,شکسته داشتن تخم مرغ,2
27,کیفیت تمام خرما ها نامطلوب و درب بک بسته شکسته بود,2
28,از ۶ تا تخم مرغ ۵ تا کاملا شکسته بود و غیر قابل استفاده بود,2
29,من دستمال توالت ۱۲ رول با تخفیف ۲۵ درصد سفارش دادم دو ساعت بعد سفارش پشتیبان زنگ زد که تمام شده ۸ رول هست بذارم گفتم بله. و اصلا اصلا روی ۸ رول تخفیف نداشت من اگه میخواستم با قیمت مصرف کننده بخرم که از سوپر محل خرید میکردم نه هایپر استار این کارتون اصلا درست نبود وظیفه پشتیبان هست اطلاع بده جایگزین ۸ رول قیمت مصرف کننده هست,0
30,نان ها در بسته بنده تحت فشار قرار گرفته بود شبیه شرایطی که بسته نان زمین افتاده و با پا از روی آن رد شده باشند?,2
31,"با سلام
وزن ثبت شده بلال ۹۵۰ گرم اما وزن واقعی ارسال شده ۵۰۰ گرم بوده است. 
مشما آن هم پاره بود این که سهوا پاره شده و در مسیر ریخته یا عمدا دزدی شده
قطعا اسم بلال برداشتن دزدی نیست ولی این که مشتری ضرر را بدهد انصاف نیست",2
32,شکستگی تخم مرغ,2
33,هدیه فایرو پاور هم توی بسته نداشت,2
34,سلام خسته نباشید لطفا پیک اتان راتوجیه کنید.با توجه به اینکه در آیفون به ایشان گفتم دربمنزل تحو یل دهددر آسانسور گذاشته بود که ما بعدا متوجه شدیم ومن با وجود مریصی مجبور شدم خودم آن را حمل کنم ضمنا اگر قیمت‌ها را کمی مناسب‌تر کنید ممنون میشوم از کیفیت کالا ها هم تقریبا راضی هستم,1
35,ریحان ها کاملا خراب بود و دور ریختم,2
36,از پنج پنیر خریداری شده ۲ پنیر فاقد تاریخ تولید و انقضا و قیمت می باشند,1
37,روغن و نوشیدنی گازدار یک عدد تحویل داده شده و مابقی آیتم هایی که تیک زدم اصلا تحویل داده نشده، به پیک محترمتون هم اعلام کردم که کدام یک نرسیده و روی فاکتور برای ایشون علامت زدم.,1
38,شیر سفارش داده بودم پاکت یکی از شیرها پاره شده بود شیر ریخته بود,2
39,به جای یخ خشک از یخ در کیسه زیپ استفاده شده بود باعث شده بود آب بیرون بیاید و اجناس خیس شده بودند. بهتر است از یخ خشک استفاده بشود. میتوانید از خریدارها بخواهید هر بار یخ های خشک قبلی را به پیک تحویل بدهند که هزینه هم کمتر بشود,3
40,"سلام روزتون بخیر 
امروز پیک خرید من را آورد به آدرس و زنگ آیفون را زد و من در را باز کردم 
ولی معلوم نیست اجناس به کدام واحد و چه کسی تحویل دادن
از شما درخواست دارم پیک های بی سواد و بی تجربه را نفرستین 
خواهش میکنم شما مقدار خرید روزانه من را بررسی کنید و در انتخاب پیک دقت بیشتر انجام دهید",1
41,ساندویج ها تاریخ گدشته بود!!,1
42,سلام ۲ عدد خامه پاک بدون تاریخ. ۳ عدد شیر کم ۳عدد شیر پر چرب کاله ارسال شده یک هفته از تولیدشون گذشته,1
43,"با اینکه من از هایپراستار زیاد خرید می کنم وبیشتر اوقات ازکیفیت اجناس و تحویل سفارشم راضی هستم ولی مدتیه کیفیت اجناس و زمانبندی درست برای ارسال وسرویس دهی مطلوب پایین اومده نارنگی ها کیفیت چندان مطلوبی نداشتندبرندنودلیت به جای برند لذیذ ارسال شد ونواربهداشتی خیلی بزرگ سفارش داده بودم که سایز بزرگش ارسال شدو...من از پرسنل هایپر سپاسگزارم ومی دونم که تمام سعیشون دراینه که مشتری راضی باشه باوجود قیمت‌های افسار گسیخته اجناس وقتی مشتری بیشتر سفارش میده باید امتیاز بیشتر،تخفیف بیشتر وسرویس دهی مطلوبتری نصیبش بشه نه بالعکس!
اگربه مشتری با وجود خریدوهزینه بیشتر، امتیاز کمتروکیفیت پایینتر و سرویس دهی نامطلوبتری ارائه بشه مطمئنا درخریدهای بعدیش تجدید نظر می کنه واین به ضرر فروشگاه وبعضا مشتریه.. باوجود زمانبندی ارسال ،مشتری بازهم دوست داره زودتر سفارششو تحویل بگیره نه دیرتر لطفا به این نکات توجه ودقت بیشتری بفرمایید.",1
44,من ماست با تخفیف انتخاب کردم با مبلغ پایین و وزن 2200،بعد جایگزین یک ماست با وزن 1500 با مبلغ 69000 تومن ارسال شده، تخم مرغی که من موقعی که تو سبد خریدم زدم 11%تخفیف خورده بود 84000 تومن شده بود ولی با مبلغ 94000 تومن ارسال شده، واقعا شما هم مثل دیجی کالا باید برید تو بلک لیست,1
45,"سلام
پیازها خوب نبودند و مجبور شدم مقداری در سطل زباله بریزم، موزها مثل همیشه نبود، همه نارنگی ها هم سالم نبودند. معمولا جعبه دستمال کاغذی آسیب می بیند، در خرید دفعه قبل حلوا ارده بیسفود خریده بودم ک محصول کیفیت خوبی ندارد و انگار در دمای نامناسب بوده چون بافت آن بهم خورده. 
فایرپاور ک نوشته شده به عنوان هدیه، ارسال نشد.",1
46,"ارسال عکس تماس با شماره ۰۹۱۷۷۰۶۴۴۶۰
تعداد ۶عدد از تخم مرغها کثیف و ترک دار هستند",1
47,تصویر ننوشته بود نوار بهداشتی مشبک می باشد. اصلا راضی نیستم و باید بندازمش دور,1
48,لطفا محصولی که در سایت موجوده ارسال بشه وقبل از ارسال از سالم بون وتاریخ تولید وانقضای محصول اطمینان حاصل شود با تشکر از خدمات اسنپ مارکت,1
49,در اپلیکیشن رب گوجه مهرام و پفک یازده درصد تخفیف داشتن. رب گوجه موقع انتخاب ۳۶هزارتومن هست بعد در فاکتور ۴۱۵۰۰ درج شده و همچنین پفک. اختلاف قیمت موقع انتخاب و فاکتور صادر شده کاملا مشخص هست,0
50,در تونر شکسته بود و ازش ریخته میشه,2
51,تخم مرغهای شکسته ارسال شده بود یا تو مسیر حین حمل شکسته بود,2
52,"سلام 
این محصول بصورت عمده خریداری شده بود که دو بسته ۳ عددی بود و قیمت هر بسته ۶۴ تومآن قید شده بود. در صورتی که در نهایت بصورت جزیی ارسال شده و قیمت بیشتری لحاظ شده است. لطفا پیگیری فرمایید",0
53,خریداری کردم ولی نفرستادید!!,1
54,وزن تخمه بجای ۲۵۰گرم، ۲۰۰ گرم بود,1
55,ساق بوقلمون فاسد بود بوی گند میداد,1
56,توي سفارش ٩٠٠ گرم ثبت شده ولي ٨٠٠ گرم تحويل دادن,1
57,متاسفانه این بار دومی هست که ماهی خریداری شده از هایپر قابل استفاده نیست,1
58,اغلب تخم مرغ هايي كه دستم رسيد شكسته و ترك خورده بود و شير بطري هم درش شل شده بو يا در اثر فشار بقيه وسايل كه روي شير قرار دادند بيشتر شير داخل نايلون ريخته بود اين سومين باره كه شيري كه سفارش ميدم داخل نايلون ميريزه,2
59,"برخورد پیک بسیار بسیار بسیاااااار بد بود
حتی از اینکه آدرس توی اپلیکیشن دست من نیست قسمتیش اطلاعی نداشت و عملا داشت باهام کل کل میکرد و به آدرس غر میزد . از طرفی سفارشی که توش تخم مرغ داشت رو قبل از رسیدن من دم در روی زمین رها کرده بود",1
60,"نارگیل فاسد ارسال شده بود 
محتویاتش به شدت بو میداد 
کاهو ها تازه نبودند",2
66, بیسکوییت خورد شده,2
67,آستون ریخته روی مواد خوراکی/باهم پک شده بودن,2
70,مایع ظرفشویی ریخته,2
79, پیک داخل اسانسور هم نذاشته,1
80,بیسکوییت خورد بوده,1
81,خیار بی کیفیت,1
82,لیمو بی کیفیت,1
88,خامه ترکیده بود/شامپو ریخته,2
91,مرغ بو میداده,1
93,مایع جرم گیر به دلیل بسته بندی بد یاحمل نامناسب پیک داخل بسته بندی ریخته شده بود سس تندمهرام ازتاریخ انقضاء فقط یک هفته باقی مانده است شیشه کشک شکسته است,2
94,"متاسفانه تاریخ انقضای ماستی که ارسال شده بسیار نزدیک است و من نمی‌تونم حدود ۲ کیلو ماست رو در ۶ روز مصرف کنم :(((
(از تاریخ تولید محصول ۱۶-۱۷ روز گذشته!)

سیب زمینی‌ها هم بسیار گِلی و درشت بود",1
95,"باسلام
از شش ماه تاریخ نوشابه ها فقط یکماه مانده است. چرا؟؟؟!!!
لطفا پیگیری نمایید.",1
96,"یخهای داخل کیسه به علت حمل بد باز شده بود و همه اقلام داخل خیس شده بود. 
در ماست باز شده بود .",2
97,یک بسته تخم مرغ کاملا شکسته بود لطفا مرجوع کنید,2
98,از ۱۲ تخم مرغ خریداری شده فقط ۵ تا سالم رسیده,1
99,۶ عدد از تخم مرغ ها شکسته ارسال شده,2
100,"لطفا زمانیکه کالاها قرار است زودتر از بازه زمانی تعیین شده ارسال شوند قبل از ارسال حتما با خریدار بصورتدتلفنی هماهنگ شود که منزل باشند.
ضمنا به همکاران تحویل دهنده یا بدهید اطلاعات روی فاکتور را بخوانند که در جریان ساعت و تاریخ تحویل باشند و اظهار بی اطلاعی نکنند. رفتارشان درست نبوده.",1
101,"متاسفانه مایع ظرفشوی در کیسه ریخته شده بود و ضمنا"" برای سومین بار طی دو روز خرید تخم مرغ بدلیل عدم موجودی کنسل شده",2
102,"۵ تا از تخم مرغها شکسته بودند و به جای شکلات تلخ شکلات شیری که قیمت کمتری هم داره ارسال شده بود! واقعا من نمیدونم این همه بی دقتی چطور امکان داره!
پیک هم چون آدرس رو پیدا نمیکرده با من بد رفتاری کرد!",2
103,ترشی ها اصلا خوب نبود باقیمانده ضایعات سبزبجات توش مشخص بود متاسفانه,1
104,پیک نفهم پرت کرده باکس اب گاز دار هارو و کل راه پله شد اب گاز دار پیک هاتون عجله دارن کار ندید بهشون اینطوری مثل حیوان برخورد نکنن,1
105,من مرغ را ۱/۴۰۰ سفارش دادم ولی برای من مرغ ۱/۲۰۰ ارسال شده است,1
106,من هر دفعه که سفارش دارم یه چیزی مشکل داره.من بادام هندی خام خواستم و با اینکه روی بسته ای که دستم رسیده زده شده خام ولی بوداده است.من نمک نمیتونم مصرف کنم و کلی پول این محصولو دادم.میخوام عوض کنم .چیکار باید بکنم؟,1
107,مایع نرم کننده سافتلن طلایی باز شده و مقداری داخل بسته ریخته است.,2
109,سلام و خسته نباشید. بهتر از میوه های. بروز و تازه استفاده شود برای ارسال با تشکر,1
111,متاسفانه تاریخ تولید میگو دقیقا ۱سال پیش است و فقط ۱۰روز تا تاریخ انقضای آن باقی مانده. قیمت محصول هم روی بسته بندی ۲۱۱ تومان ذکر شده که هایپراستار قیمت را ۲۶۸ تومان زده بود و با تخفیف ۲۱۵ تومان حساب کرد! واقعا تعجب میکنم از این کار و به شدت ناراضی هستم از این خرید. کالای ۱سال مانده در فروشگاه که کیفیت کالای تازه را ندارد، را به قیمت بالاتر از قیمت روی بسته بندی به بنده فروخته اند.,0
112,سلام قیمت این سوخاری رو زدین 128000هزار تومن بعد مثلا 30درصد تخفیف دادین وقیمت روی محصول رو میفروشین؟ واقعا جای تاسف و خجالته مردم رو چی فرض کردین؟,1
113,سلام وقت بخیر، تاریخ بسته بندی خیار ۴ روز پیش یعنی هشتم دی ماهه و خیار تازه نیست درخواست مرجوعی دارم,1
114,"با درود و‌عرض ادب
ماست ، پنیر و سایر اقلام که بسته بندی آنها فقط یک پوشش آلومینیوی‌ ضعیف است و درپوس اضافی ندارند ، معمولا بعلت بسته بندی آنها با سایر اقلام و یا در حمل ، آسیب و یا پاره میشوند 
لطفا الزامات استاندارد بسته بندی و حمل رعایت شود

همچنیین تخم مرغ",1
115,سلام. پیازی که امروز خریدم با قیمت بالایی که داشت متاسفانه کیفیت خیلی پایینی داشت. دوسه تاش خیس بود و درون یکیش رو که باز کردم گندیده بود. نرم افزارتون هم معمولا مشکل آپلود عکس داره نمیدونم اینبار میتونم عکسش رو آپلود کنم یا نه,1
116,ماده ضدعفونی کننده در کیسه خامه و چای قرار داده شده بود و مقداری از آن ریخته بود. در این کیسه ته سیگار و خاکستر سیگار ریخته شده بود!,2
117,یک کیلو پرتقال تامسون جنوب که ۶ عدد بود دو تا به شده و کپک زده بود,2
118,گوشت تاریخ روز قبل بود و بخش هایی از اون تغییر رنگ داده بود,1
119,"لطفا پیک رو ملزم بفرمایید تا محصولات رو درب آپارتمان تحویل بدن، نه درب خیابان‌.
سپاس فراوان",1
120,باسلام گوشت چرخ کرده ی گوساله فوق العاده چرب بود وباتصویر آپشن خیلی فرق داشت ورنگ گوشت به علت چرب بودن بیشتر به سفیدی میزد تا رنگ گوشت .بنده دومین باره گوشت گوساله ازهایپر میخرم البته چرخ کرده هردوبار به همین صورت بوده.باپشتیبانی تماس گرفتم واطلاع دادم البته بسته بندیو بازکردم ولی تصویر گوشتو دارم نمیدونم از کجا میشه تصویرو براتون ارسال کنم.باتشکر,1
121,متاسفانه کاملا گندیده و خراب بود واقعا از هایپر به این خوبی بعید بود,1
122,مقدار زیادی از واد شوینده ریخته بود,2
123,قارچ قهوه ای شده بود و بسیار مانده و بی کیفیت و بیات بود.,2
124,متاسفانه گوشت‌ قلوه گاه دارای‌ بسته‌بندی نامتعارف(ظرفیت۲برابری) وبا تاريخ تولید(بسته‌بندی) ۷/۱۰بود,1
125,متاسفانه چندین بار سفارش داده ام ولی شرکت به بهانه های مختلف از تحویل جنس خودداری کرده در صورتیکه شرکت پس ازثبت وتایید سفارش وکسر پول ازحساب مشتری موظف به تحویل ان میباشد برای عدم دقت پرسنل وضعف نظارت مدیران متاسفم,1
126,تصویر نمایش داده شده در سایت پرتقالهای کاملا نارنجی رنگ و رسیده را نشان میدهد ولی پرتقالهای ارسالی نرسیده و کال و نیمه کال هستند ، دفعه قبل هم پرتقالهای کاملا سبز و نرسیده بسیار ترش را ارسال کرده بودند,1
127,با سلام توقع داشتم مرغی که می‌فرستید تاریخ روز باشه,1
128,تاریخ تولید ماست مال ده روز پیشه. نون تست رو در نایلون نوشابه گذاشته بودند، کمی له شده بود.,2
129,این محصولات و با تخفیف خرید کردم و هنوزم تخفیف دارند اما برای من بدون تخفیف محاسبه شدند,1
130,كاملا كپك زده بود,1
131,بجای سالاد هویج ،سالاد فصل مونده دادید,1
132,همه چی خوب بود فقط نارنگی خیلی مونده و پلاسیده بود,1
133,"با سلام متاسفانه سیب زمینی ها کاملا از انجماد خارج شده بود. 
در ضمن هزینه‌ی جمع آوری به نظر بنده خیلی مسخره میباشد.",2
134,دو تا از شیر ها درش خراب بود ریخته بود,2
135,"تاریخ مصرف سس گوجه فرنگی تند بیژن گذشته و کاملا منقضی شده تاریخ مصرفش از 
۱۴۰۱/۰۲/۰۱ تا 1401/10/1 بوده",1
136,برای خرید تخم مرغ یا کالاهای مشابه مناسب نیست چون تخم مرغها شکسته تحویل داده شد,2
137,کنسرو تن ماهی دودی مکنزی مبلغ مصرف کننده روی کالا ۳۹۹۰۰تومان روی فاکتور ۴۳۵۰۰ تومان ؟! ۲۴ درصد هم تخفیف خورده :(,1
138,"آیتم کاهو فراموش شده و موجود نبود 

چهار روزه منتظر آیتم کاهو بودم ، امروز هم که موجود شد فراموش کردن بیارن ، لطفا آیتم کاهو و فلفی کاپی و لیموترش سبزیجات و میوه جات تقویت شود ، هیچوقت موجود نیست و اکثر مواقع میوه درجه۱ و کاهو و کاپی و گوجه درجه۱ موجود نیست",1
139,"پنیر پیتزا ۲ کلو که سفارش داده بودیم مال شرکت ۲۰۶ بود
ولی پنیر پیتزا که ارسال شد مال آذر تک هست و قیمت هر دو باهم خیلی متفاوت هستند. همان موقع که راننده هم زنگ زده بود آنجا که مطمئن شود که گفتند همین شی برای ما ارسال شده است. و روش چسپ هایپر که خورده نوشته است پنیر پیتزا فله.",0
140,"با سلام 
متاسفانه تعدادی از نارنگی ها خراب هستند. حالت له و نرم شده پیدا کرده اند.",2
141,وقتی کالایی در اپلیکشن با یه مارکی ثبت شده دقیقا همون مارک رو به مشتری تحویل بدین.,1
142,سلام، مثل همیشه نان له شده دریافت کردم. مورد دیگر این که وقتی شش بطری نوشیدنی یک لیتری درخواست کردم انتظارم دریافت شل کالا میباشد. وقتی ۱۵۰۰۰ ریال هزینه جمع آوری دریافت می کنید آموزش هم به پرسنل بدهید.,1
143,"برای ناگت قیمت مصرف کننده 150/0000 تومان ثبت شده و قیمت خرید من هم 150/000 تومان بوده = تخفیف 0 داشته 
تاریخ تولید ناگت برای 3 ماه قبل است

تاریخ تولید قدیمی # با درج قیمت جدید",1
144,"بقدری موزهاقهوه ای بودکه اصلاقابل نگهداری برای یک روزهم نبود
بااینکاری که انجام میدن بیشتربه خریدحضوری سوق میدن مردم رو
یعنی این موزرومن به هیچ عنوان نمیخریدم اگرحضوری میرفتم 
بایدکاری کنن که مابااطمینان کامل انلاین خریدکنیم",1
145,"انتظار نداشتم میوه گندیده بخرم.
متاسفانه برای اولین بار بود که در خرید از هایپر اینگونه مسئله ای پیش اومد که( به ها )همشون گندیده و غیر قابل استفاده باشن.",1
146,"سلام
قيمت روي كالابافاكتورمغايرت دارد
اطفارسيدگي نماييد٠
لطفابر أي صابون أرزان قيمت تخفيف بگذاريد
متشكرم",1
147,من دوتا بال سفارش دادم یدونه ارسال کردن,1
148,سلام من سینه مرغ برند چکاد سفارش دادم به جای اون برای من برند هایپر ارسال شد که اصلا خوب نبود.,1
149,من پنیر صباح 900 گرمی با 18٪ تخفیف انتخاب کردم از منوی تخفیف ها.، برای من پنیر ۴۰۰ گرمی هرتز، بدون تخفیف فریتادند,1
150,"ساعت تحویل خریدم بین 6 تا 9بود،،، که ساعت 10.30بدستم رسید،، بعد دوبار تماس با پشتیبانی واین قشنگ نیست ادم سرکارباشه ویه بازه زمانی بدید وبعد 5ساعت بدست مشتری برسه 
ویکی ازآب معدنی هاکه خریده بودم درش شکسته بود",2
151,تاریخ تخم مرغها مربوط به ۱ دی ماه می باشد,1
152,پیک خانم بودن تلفن کردن که برم خرید رو در پارکینگ تحویل بگیرم مردی که همراه ایشون بودن پای تلفن فحش دادن با تماس به پشتیبانی کنسل کردم ولی اقا اومد درب منزل خریدها رو پرت کرد به در و با مشت به پر زد در رو که باز کردم از پله ها دوید پایین و همچنان فحش میداد,1
153,آیتم خمیردندان تحویل داده نشد,1
154,سلام.من دو عدد چی پف شکلاتی سفارش دادم ولی یکی به دستم رسید,1
155,تخم مرغ ها شکسته بودند.,2
156,جنس شورت برخلاف سایت که نوشته بود نخ پنبه، از جنس الیاف مصنوعی و حساسیت زا بود,1
157,دربسته بندی کالای مایع و کالای خشک دقت بیشتری شود و در یک کیسه نگذارید..وکالای مایع را ایستاده در کیسه قرارداده و یک محافظ کنارش بگذارید .متشکرم,1
158,"قیمت روغن ترمزها با قیمتی که بر روی کالا درج شده مغایرت دارد
سس مایونز درخواست تاریخ تولیدش با تاریخ تولید سفارش داده شده مغایرت دارد
چسب قطره ای تاریخ تولیدش با تاریخ تولید سفارش مغایرت دارد و اصن تاریخ مصرف گذشته است!
متاسفم برای تیم شما",1
159,کاهو خوب نبود. پرتقال توش خراب داشت.,1
169,4تخم مرغ شکسته,2
184,شیشه کشک شکسته,2
186, پیک گفته قانون نداریم بیاره بالا,1
187,دستمال کاغذی له شده- ,2
197,خمیردندان ۶ماه بیشتر تا تاریخ انقضا فرصت نداشت,1
198,پیک حتی بخودشون زحمت ندادن از ماشین پیاده بشن وسایل رو تحویل بدن ، نشسته پشت فرمان در رو بازکردن کیسه رو داد بدستم بنظرم این رفتار درست نیست و یجور بی احترامی به خریدار هست,1
199,بجای دو بسته فقط یک عدد نیم کیلویی ارسال شد,1
200,درب یکی از تن ماهی ها کاملاً باز شده و محتویات و روغن آن کل کیسه محتوی خریدها را آلوده و چرب کرده بود ناچار شدم همه 14 قوطی کنسرو لوبیا ـ نخودفرنگی ـ تن ماهی ها را با شوینده شستشو دهم تا چربی و بوی ماهی پاک شود تجربه خیلی بدی بود .,1
201,قیمت عسل رو تو فاکتور می‌نویسید ۴۳۸۰۰۰ بعد وقتی جنس و می‌فرستید از بار قدیم ارسال میکنید یعنی چی؟؟؟؟ قیمت ۳۳۷۰۰۰ می فرستید همه تون دزدی می کنید کره هم که مغایرت داشت کره حیوانی فرستادید واقعا ک,0
202,سفارش با ۵ ساعت تاخیر رسید و پیک بسیار بی ادب و بر تربیت بود,1
204,"سلام بنده پنیر بزرگ ۴۰۰ گرمی سفارش داده ام
برایم ۱۰۰ گرمی ارسال کرده آید!!!",1
205,کیسه ی شکر پاره شده بود وتمامیش داخل کیسه ریخته بود,2
206,"سفارش پنیر روزانه داشتیم 
متاسفانه هر بار که سفارش دادیم ، تاریخش رو به اتمام بوده و از این موضوع ناراضی هستیم 
لطفاً رسیدگی بفرمایین
در صورت نیاز با این شماره 09357908270تماس بگیرین",1
207,اول از همه این ظرف ها اونی نیست که تو عکس هست و درش سفیده دوم اینکه مرسی بابت فرستادن گریپفرود پلاسیده !! اینم از اعتماد از این فروشگاه ،من راضی نیستم بابت پولی که دادم,1
208,"باسلام
قیمت درج شده روی بسته چایی(تاریخ تولید فروردین) ۲۱ هزار تومان می باشد، در حالی که در قیمت هایپر استاد ۲۵ گفته شده و تخفیف ۲۸ درصدی ارایه شده. بدیهی ست کشف مجدد چنین خطایی جرایم خاص تعزیراتی خواهد داشت.",0
209,محصولات با مارک هایپرمارکت بسیار بی کیفیت است,1
210,باسلام وخداقوت اصلا از طعم این پنیر بلغاری خوشم نیامد انگار طعم مانده میده,1
211,سلام یه پودر کافی میکس دو در یک برای من کم گذاشتن,1
212,نحوه ارسال محصولات به شدت بده چون حتی یه محصول کوچیک رو توی یه کیسه پلاستیکی بزرگ فرار میدید و همه این کیسه هارو به هم گره میزنید که حمل رو خیلی سخت میکنه واسه مشتری و موجب آسیب دیدگی محصولات میشه و حتی باعث ورود بی رویه کیسه های پلاستیکی به طبیعت میشه در حالی که میشه چند تا محصول رو توی یک کیسه گذاشت,1
213,"قیمت بلغور جو رو بسته اش زده ۲۲۲۵۰۰ ریال 
اما قیمتی که فروخته شده ۴۵۱۰۰۰ ریال .
تولیدش ۱۴۰۰،۱۱،۱۰
انقضاش ۱۴۰۱،۱۱،۱۰ هستش 
یعنی حدود ۳ هفته دیگه منقضی میشه",0
214,با این قیمت پرداختی توقع بیشتری داشتم و با کیفیت بهتری ولی هیچ وقت این طور نیست,1
215,"سلام وقت بخیر 
طبق فاکتور سطل 5 کیلویی سفارش دادم ولی سطل ارسالی خیلی سایز کوچکی ارسال شده",1
216,۲ کالای بالا ارسال نشد ، در اصل بادام زمینی ارسال نشد که حالا ۶ تومن بود اشکال نداره,1
217,دو مورد مشخص شده در سفارش ارسال نشده است,2
218,لطفا نانها را یک مقدار خنک کنید بعد داخل نایلون بذارید . به هم چسبیده بودند.,1
220,"کلا ۴ تا دونه تخم مرغ قابل استفاده بود☹️
مجبور شدم کلا بندازم بیرون متاسفانه",1
221,"باسلام
قیمت درج شده روی بسته چایی(تاریخ تولید فروردین) ۲۱ هزار تومان می باشد، در حالی که در قیمت هایپر استاد ۲۵ گفته شده و تخفیف ۲۸ درصدی ارایه شده. بدیهی ست کشف مجدد چنین خطایی جرایم خاص تعزیراتی خواهد داشت.",0
222,"با سلام
متاسفانه پیک برخورد نامناسبی داشت بدین صورت که اجناس رو وسط راهرو گذاشته و جوری کبونده به زمین انگار از روی اجبار و رایگان برای ما جنس آورده و همچنین محصول ویتامین سی که جز سفارش بود ترک خورده و معرض شکستن بود.لطفا تذکر بدین چون مشتری چندین ساله هایپراستار هستیم و این رفتارها به هیچ وجه شایسته نیست",1
223,سلام اندفعه که گرفتین برنج نسبت به قبلی خیلی خورد داشت باید کمتر از این قیمت میخورد,1
224,بسته بندی بسیار نامناسب. 8 عدد رب در یک پلاستیک همراه با 3 عدد شکلات. یک عدد شکلات له شده. یک عدد دیگر به علت پاره شدن پلاستیک افتاده است و اصلا تحویل داده نشد.,2
