"","X","Comment","label"
"90",114,"با درود و‌عرض ادب
ماست ، پنیر و سایر اقلام که بسته بندی آنها فقط یک پوشش آلومینیوی‌ ضعیف است و درپوس اضافی ندارند ، معمولا بعلت بسته بندی آنها با سایر اقلام و یا در حمل ، آسیب و یا پاره میشوند 
لطفا الزامات استاندارد بسته بندی و حمل رعایت شود

همچنیین تخم مرغ","Product"
"91",115,"سلام. پیازی که امروز خریدم با قیمت بالایی که داشت متاسفانه کیفیت خیلی پایینی داشت. دوسه تاش خیس بود و درون یکیش رو که باز کردم گندیده بود. نرم افزارتون هم معمولا مشکل آپلود عکس داره نمیدونم اینبار میتونم عکسش رو آپلود کنم یا نه","Product"
"92",116,"ماده ضدعفونی کننده در کیسه خامه و چای قرار داده شده بود و مقداری از آن ریخته بود. در این کیسه ته سیگار و خاکستر سیگار ریخته شده بود!","Packaging"
"93",117,"یک کیلو پرتقال تامسون جنوب که ۶ عدد بود دو تا به شده و کپک زده بود","Packaging"
"94",118,"گوشت تاریخ روز قبل بود و بخش هایی از اون تغییر رنگ داده بود","Product"
"95",119,"لطفا پیک رو ملزم بفرمایید تا محصولات رو درب آپارتمان تحویل بدن، نه درب خیابان‌.
سپاس فراوان","Product"
"96",120,"باسلام گوشت چرخ کرده ی گوساله فوق العاده چرب بود وباتصویر آپشن خیلی فرق داشت ورنگ گوشت به علت چرب بودن بیشتر به سفیدی میزد تا رنگ گوشت .بنده دومین باره گوشت گوساله ازهایپر میخرم البته چرخ کرده هردوبار به همین صورت بوده.باپشتیبانی تماس گرفتم واطلاع دادم البته بسته بندیو بازکردم ولی تصویر گوشتو دارم نمیدونم از کجا میشه تصویرو براتون ارسال کنم.باتشکر","Product"
"97",121,"متاسفانه کاملا گندیده و خراب بود واقعا از هایپر به این خوبی بعید بود","Product"
"98",122,"مقدار زیادی از واد شوینده ریخته بود","Packaging"
"99",123,"قارچ قهوه ای شده بود و بسیار مانده و بی کیفیت و بیات بود.","Packaging"
"100",124,"متاسفانه گوشت‌ قلوه گاه دارای‌ بسته‌بندی نامتعارف(ظرفیت۲برابری) وبا تاريخ تولید(بسته‌بندی) ۷/۱۰بود","Product"
"101",125,"متاسفانه چندین بار سفارش داده ام ولی شرکت به بهانه های مختلف از تحویل جنس خودداری کرده در صورتیکه شرکت پس ازثبت وتایید سفارش وکسر پول ازحساب مشتری موظف به تحویل ان میباشد برای عدم دقت پرسنل وضعف نظارت مدیران متاسفم","Product"
"102",126,"تصویر نمایش داده شده در سایت پرتقالهای کاملا نارنجی رنگ و رسیده را نشان میدهد ولی پرتقالهای ارسالی نرسیده و کال و نیمه کال هستند ، دفعه قبل هم پرتقالهای کاملا سبز و نرسیده بسیار ترش را ارسال کرده بودند","Product"
"103",127,"با سلام توقع داشتم مرغی که می‌فرستید تاریخ روز باشه","Product"
"104",128,"تاریخ تولید ماست مال ده روز پیشه. نون تست رو در نایلون نوشابه گذاشته بودند، کمی له شده بود.","Packaging"
"105",129,"این محصولات و با تخفیف خرید کردم و هنوزم تخفیف دارند اما برای من بدون تخفیف محاسبه شدند","Product"
"106",130,"كاملا كپك زده بود","Product"
"107",131,"بجای سالاد هویج ،سالاد فصل مونده دادید","Product"
"108",132,"همه چی خوب بود فقط نارنگی خیلی مونده و پلاسیده بود","Product"
"109",133,"با سلام متاسفانه سیب زمینی ها کاملا از انجماد خارج شده بود. 
در ضمن هزینه‌ی جمع آوری به نظر بنده خیلی مسخره میباشد.","Packaging"
"110",134,"دو تا از شیر ها درش خراب بود ریخته بود","Packaging"
"111",135,"تاریخ مصرف سس گوجه فرنگی تند بیژن گذشته و کاملا منقضی شده تاریخ مصرفش از 
۱۴۰۱/۰۲/۰۱ تا 1401/10/1 بوده","Product"
"112",136,"برای خرید تخم مرغ یا کالاهای مشابه مناسب نیست چون تخم مرغها شکسته تحویل داده شد","Packaging"
"113",137,"کنسرو تن ماهی دودی مکنزی مبلغ مصرف کننده روی کالا ۳۹۹۰۰تومان روی فاکتور ۴۳۵۰۰ تومان ؟! ۲۴ درصد هم تخفیف خورده :(","Product"
"114",138,"آیتم کاهو فراموش شده و موجود نبود 

چهار روزه منتظر آیتم کاهو بودم ، امروز هم که موجود شد فراموش کردن بیارن ، لطفا آیتم کاهو و فلفی کاپی و لیموترش سبزیجات و میوه جات تقویت شود ، هیچوقت موجود نیست و اکثر مواقع میوه درجه۱ و کاهو و کاپی و گوجه درجه۱ موجود نیست","Product"
"115",139,"پنیر پیتزا ۲ کلو که سفارش داده بودیم مال شرکت ۲۰۶ بود
ولی پنیر پیتزا که ارسال شد مال آذر تک هست و قیمت هر دو باهم خیلی متفاوت هستند. همان موقع که راننده هم زنگ زده بود آنجا که مطمئن شود که گفتند همین شی برای ما ارسال شده است. و روش چسپ هایپر که خورده نوشته است پنیر پیتزا فله.","Price"
"116",140,"با سلام 
متاسفانه تعدادی از نارنگی ها خراب هستند. حالت له و نرم شده پیدا کرده اند.","Packaging"
"117",141,"وقتی کالایی در اپلیکشن با یه مارکی ثبت شده دقیقا همون مارک رو به مشتری تحویل بدین.","Product"
"118",142,"سلام، مثل همیشه نان له شده دریافت کردم. مورد دیگر این که وقتی شش بطری نوشیدنی یک لیتری درخواست کردم انتظارم دریافت شل کالا میباشد. وقتی ۱۵۰۰۰ ریال هزینه جمع آوری دریافت می کنید آموزش هم به پرسنل بدهید.","Product"
"119",143,"برای ناگت قیمت مصرف کننده 150/0000 تومان ثبت شده و قیمت خرید من هم 150/000 تومان بوده = تخفیف 0 داشته 
تاریخ تولید ناگت برای 3 ماه قبل است

تاریخ تولید قدیمی # با درج قیمت جدید","Product"
"120",144,"بقدری موزهاقهوه ای بودکه اصلاقابل نگهداری برای یک روزهم نبود
بااینکاری که انجام میدن بیشتربه خریدحضوری سوق میدن مردم رو
یعنی این موزرومن به هیچ عنوان نمیخریدم اگرحضوری میرفتم 
بایدکاری کنن که مابااطمینان کامل انلاین خریدکنیم","Product"
"121",145,"انتظار نداشتم میوه گندیده بخرم.
متاسفانه برای اولین بار بود که در خرید از هایپر اینگونه مسئله ای پیش اومد که( به ها )همشون گندیده و غیر قابل استفاده باشن.","Product"
"122",146,"سلام
قيمت روي كالابافاكتورمغايرت دارد
اطفارسيدگي نماييد٠
لطفابر أي صابون أرزان قيمت تخفيف بگذاريد
متشكرم","Product"
"123",147,"من دوتا بال سفارش دادم یدونه ارسال کردن","Product"
"124",148,"سلام من سینه مرغ برند چکاد سفارش دادم به جای اون برای من برند هایپر ارسال شد که اصلا خوب نبود.","Product"
"125",149,"من پنیر صباح 900 گرمی با 18٪ تخفیف انتخاب کردم از منوی تخفیف ها.، برای من پنیر ۴۰۰ گرمی هرتز، بدون تخفیف فریتادند","Product"
"126",150,"ساعت تحویل خریدم بین 6 تا 9بود،،، که ساعت 10.30بدستم رسید،، بعد دوبار تماس با پشتیبانی واین قشنگ نیست ادم سرکارباشه ویه بازه زمانی بدید وبعد 5ساعت بدست مشتری برسه 
ویکی ازآب معدنی هاکه خریده بودم درش شکسته بود","Packaging"
"127",151,"تاریخ تخم مرغها مربوط به ۱ دی ماه می باشد","Product"
"128",152,"پیک خانم بودن تلفن کردن که برم خرید رو در پارکینگ تحویل بگیرم مردی که همراه ایشون بودن پای تلفن فحش دادن با تماس به پشتیبانی کنسل کردم ولی اقا اومد درب منزل خریدها رو پرت کرد به در و با مشت به پر زد در رو که باز کردم از پله ها دوید پایین و همچنان فحش میداد","Product"
"129",153,"آیتم خمیردندان تحویل داده نشد","Product"
"130",154,"سلام.من دو عدد چی پف شکلاتی سفارش دادم ولی یکی به دستم رسید","Product"
"131",155,"تخم مرغ ها شکسته بودند.","Packaging"
"132",156,"جنس شورت برخلاف سایت که نوشته بود نخ پنبه، از جنس الیاف مصنوعی و حساسیت زا بود","Product"
"133",157,"دربسته بندی کالای مایع و کالای خشک دقت بیشتری شود و در یک کیسه نگذارید..وکالای مایع را ایستاده در کیسه قرارداده و یک محافظ کنارش بگذارید .متشکرم","Product"
"134",158,"قیمت روغن ترمزها با قیمتی که بر روی کالا درج شده مغایرت دارد
سس مایونز درخواست تاریخ تولیدش با تاریخ تولید سفارش داده شده مغایرت دارد
چسب قطره ای تاریخ تولیدش با تاریخ تولید سفارش مغایرت دارد و اصن تاریخ مصرف گذشته است!
متاسفم برای تیم شما","Product"
"135",159,"کاهو خوب نبود. پرتقال توش خراب داشت.","Product"
"136",169,"4تخم مرغ شکسته","Packaging"
"137",184,"شیشه کشک شکسته","Packaging"
"138",186," پیک گفته قانون نداریم بیاره بالا","Product"
"139",187,"دستمال کاغذی له شده- ","Packaging"
"140",197,"خمیردندان ۶ماه بیشتر تا تاریخ انقضا فرصت نداشت","Product"
"141",198,"پیک حتی بخودشون زحمت ندادن از ماشین پیاده بشن وسایل رو تحویل بدن ، نشسته پشت فرمان در رو بازکردن کیسه رو داد بدستم بنظرم این رفتار درست نیست و یجور بی احترامی به خریدار هست","Product"
"142",199,"بجای دو بسته فقط یک عدد نیم کیلویی ارسال شد","Product"
"143",200,"درب یکی از تن ماهی ها کاملاً باز شده و محتویات و روغن آن کل کیسه محتوی خریدها را آلوده و چرب کرده بود ناچار شدم همه 14 قوطی کنسرو لوبیا ـ نخودفرنگی ـ تن ماهی ها را با شوینده شستشو دهم تا چربی و بوی ماهی پاک شود تجربه خیلی بدی بود .","Product"
"144",201,"قیمت عسل رو تو فاکتور می‌نویسید ۴۳۸۰۰۰ بعد وقتی جنس و می‌فرستید از بار قدیم ارسال میکنید یعنی چی؟؟؟؟ قیمت ۳۳۷۰۰۰ می فرستید همه تون دزدی می کنید کره هم که مغایرت داشت کره حیوانی فرستادید واقعا ک","Price"
"145",202,"سفارش با ۵ ساعت تاخیر رسید و پیک بسیار بی ادب و بر تربیت بود","Product"
"146",204,"سلام بنده پنیر بزرگ ۴۰۰ گرمی سفارش داده ام
برایم ۱۰۰ گرمی ارسال کرده آید!!!","Product"
"147",205,"کیسه ی شکر پاره شده بود وتمامیش داخل کیسه ریخته بود","Packaging"
"148",206,"سفارش پنیر روزانه داشتیم 
متاسفانه هر بار که سفارش دادیم ، تاریخش رو به اتمام بوده و از این موضوع ناراضی هستیم 
لطفاً رسیدگی بفرمایین
در صورت نیاز با این شماره 09357908270تماس بگیرین","Product"
"149",207,"اول از همه این ظرف ها اونی نیست که تو عکس هست و درش سفیده دوم اینکه مرسی بابت فرستادن گریپفرود پلاسیده !! اینم از اعتماد از این فروشگاه ،من راضی نیستم بابت پولی که دادم","Product"
"150",208,"باسلام
قیمت درج شده روی بسته چایی(تاریخ تولید فروردین) ۲۱ هزار تومان می باشد، در حالی که در قیمت هایپر استاد ۲۵ گفته شده و تخفیف ۲۸ درصدی ارایه شده. بدیهی ست کشف مجدد چنین خطایی جرایم خاص تعزیراتی خواهد داشت.","Price"
"151",209,"محصولات با مارک هایپرمارکت بسیار بی کیفیت است","Product"
"152",210,"باسلام وخداقوت اصلا از طعم این پنیر بلغاری خوشم نیامد انگار طعم مانده میده","Product"
"153",211,"سلام یه پودر کافی میکس دو در یک برای من کم گذاشتن","Product"
"154",212,"نحوه ارسال محصولات به شدت بده چون حتی یه محصول کوچیک رو توی یه کیسه پلاستیکی بزرگ فرار میدید و همه این کیسه هارو به هم گره میزنید که حمل رو خیلی سخت میکنه واسه مشتری و موجب آسیب دیدگی محصولات میشه و حتی باعث ورود بی رویه کیسه های پلاستیکی به طبیعت میشه در حالی که میشه چند تا محصول رو توی یک کیسه گذاشت","Product"
